Token,Item Name,Variation Name,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (kg),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Current Quantity Fiddle music shop,New Quantity Fiddle music shop,Stock Alert Enabled Fiddle music shop,Stock Alert Count Fiddle music shop,Image Path
,Brenda Stubbert The 2nd Collection,,book-stubbert2nd,"161 tunes, a mix of traditional and original material from Cape Breton, Irish, and Scottish traditions.",Books > Celtic Music,Celtic Fiddle Books,Brenda Stubbert The 2nd Collection - Celtic Fiddle Music Book,Cape Breton fiddle music collection with 161 traditional and original tunes by Brenda Stubbert,brenda-stubbert-2nd-collection,,VISIBLE,,0.5,Celtic Fiddle Music Books,Traditional Cape Breton fiddle tunes and compositions,True,True,True,True,19.5,,False,True,False,True,False,,,20,20,True,5,
,Jerry Holland The 2nd Collection,,book-holland2nd,"322 tunes, including 120 new Holland compositions, with chords and tunes from several albums.",Books > Celtic Music,Celtic Fiddle Books,Jerry Holland The 2nd Collection - Celtic Fiddle Music Book,Comprehensive collection of 322 Celtic fiddle tunes including 120 new Jerry Holland compositions,jerry-holland-2nd-collection,,VISIBLE,,0.6,Celtic Fiddle Music Books,Jerry Holland compositions and traditional Celtic tunes,True,True,True,True,24.5,,False,True,False,True,False,,,20,20,True,5,
,The Lighthouse Collection,,book-lighthouse,"294 tunes, mostly new to Cape Breton, Irish, and Scottish traditions, with chords.",Books > Celtic Music,Celtic Fiddle Books,The Lighthouse Collection - Celtic Fiddle Music Book,294 Celtic fiddle tunes with chords from Cape Breton Irish and Scottish traditions,lighthouse-collection,,VISIBLE,,0.5,Celtic Fiddle Music Books,Celtic fiddle music collection with chords,True,True,True,True,19.5,,False,True,False,True,False,,,20,20,True,5,product_images_consolidated/cape_breton/Book-Lighthouse.jpg
,Jerry Holland and Friends,,cd-jerryfriends,"57 tunes on 21 tracks, including many never recorded before, with various guest artists.",CDs > Celtic Music,Celtic Fiddle CDs,Jerry Holland and Friends - Celtic Fiddle Music CD,Celtic fiddle music CD featuring 57 tunes with Jerry Holland and guest artists,jerry-holland-friends,,VISIBLE,,0.1,Celtic Fiddle Music CDs,Traditional Cape Breton fiddle music recordings,True,True,True,True,19.5,,False,True,False,True,False,,,20,20,True,5,
,The CB Musical Heritage Series - 9 Book Bundle,,bundle-heritage9,"The Heritage Series currently contains 9 books. Includes: The Cape Breton Highland Collection, Cape Breton Scottish Collection, The Cape Breton Fiddlers Collection, Brenda Stubbert: The Second Collection, Jerry Holland: The Second Collection, Winston Fitzgerald: A Collection of Fiddle Tunes, The Lighthouse Collection, Brenda Stubbert Collection, Jerry Holland's Collection of Fiddle Tunes. Substitutions available.",Bundles > Celtic Music,Celtic Music Bundles,CB Musical Heritage Series - 9 Book Bundle - Celtic Fiddle Music,Complete collection of 9 Celtic fiddle music books from Cape Breton musical heritage series,cb-heritage-9-book-bundle,,VISIBLE,,4.5,Celtic Music Book Bundles,Complete Cape Breton fiddle music collection,True,True,True,True,112.5,,False,True,False,True,False,,,10,10,True,3,
,The Lighthouse Collection book & More Tunes CDs,,bundle-lighthouse-cd,"294 melodies with chords by Paul Cranford, plus 'More Tunes from the Lighthouse' (2 CDs, 34 medleys, 24-page booklet). New edition includes worldwide session favorites.",Bundles > Celtic Music,Celtic Music Bundles,Lighthouse Collection Book & CDs Bundle - Celtic Fiddle Music,Celtic fiddle music bundle with book and 2 CDs featuring 294 melodies and worldwide session favorites,lighthouse-book-cd-bundle,,VISIBLE,,0.7,Celtic Music Bundles,Celtic fiddle music book and CD collection,True,True,True,True,33.0,,False,True,False,True,False,,,15,15,True,3,
,Winston Fitzgerald Collection & Classic Cuts CD,,bundle-winstonfitzgerald,Winston has set the standard for Cape Breton fiddling. Classic Cuts gives a sampling of his music recorded during the 1950s & 60s. Specially priced book-CD bundle.,Bundles > Celtic Music,Celtic Music Bundles,Winston Fitzgerald Collection & Classic Cuts CD Bundle,Cape Breton fiddle legend Winston Fitzgerald collection with book and classic recordings CD,winston-fitzgerald-bundle,,VISIBLE,,0.6,Celtic Music Bundles,Winston Fitzgerald Cape Breton fiddle music collection,True,True,True,True,34.95,,False,True,False,True,False,,,12,12,True,3,
,Winston Fitzgerald: Classic Cuts,,cd-fitzgerald-classiccuts,"22 digitally remastered classic cuts from the Celtic LPs, featuring some of the most influential Cape Breton fiddle music.",CDs > Celtic Music,Celtic Fiddle CDs,Winston Fitzgerald Classic Cuts - Cape Breton Fiddle CD,22 digitally remastered Cape Breton fiddle classics from legendary fiddler Winston Fitzgerald,winston-fitzgerald-classic-cuts,,VISIBLE,,0.1,Celtic Fiddle Music CDs,Classic Cape Breton fiddle recordings,True,True,True,True,19.5,,False,True,False,True,False,,,20,20,True,5,
,Cranford Publications: Brenda Stubbert - Collection of Fiddle Tunes (book),,cranford-bsft-b,Cranford Publications: Brenda Stubbert - Collection of Fiddle Tunes (book) Brenda Stubbert - Collection of Fiddle Tunes (book) of the Cape Breton Musical Heritage Series. A mix of 131 traditional,Books > Celtic Music,Celtic Fiddle Books,Cranford Publications: Brenda Stubbert - Collection of Fiddle Tunes (book) - Celtic Music,Cranford Publications: Brenda Stubbert - Collection of Fiddle Tunes (book) Brenda Stubbert - Collection of Fiddle Tunes (book) of the Cape Breton Musical Herita,cranford-publications-brenda-stubbert-collection-of-fiddle-tunes-book,,VISIBLE,,0.5,Celtic Music,Cranford Publications: Brenda Stubbert - Collection of Fiddle Tunes (book) Brenda Stubbert - Collect,TRUE,TRUE,TRUE,TRUE,19.50,,FALSE,TRUE,FALSE,TRUE,FALSE,,,10,10,TRUE,3,
,"Cranford Publications: The Cape Breton Fiddler, Allister MacGillivray (book)",,cranford-cbf-b,"Cranford Publications: The Cape Breton Fiddler, Allister MacGillivray (book) The Cape Breton Fiddler, Allister MacGillivray (book) an instant success. Mostly consisting of photographs, interviews and",Books > Celtic Music,Celtic Fiddle Books,"Cranford Publications: The Cape Breton Fiddler, Allister MacGillivray (book) - Celtic Music","Cranford Publications: The Cape Breton Fiddler, Allister MacGillivray (book) The Cape Breton Fiddler, Allister MacGillivray (book) an instant success. Mostly co",cranford-publications-the-cape-breton-fiddler-allister-macgillivray-book,,VISIBLE,,0.5,Celtic Music,"Cranford Publications: The Cape Breton Fiddler, Allister MacGillivray (book) The Cape Breton Fiddler",TRUE,TRUE,TRUE,TRUE,19.95,,FALSE,TRUE,FALSE,TRUE,FALSE,,,10,10,TRUE,3,
